id,host_since,host_response_rate,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location
23450,2021,100,X Ostia/Acilia,Entire condominium (condo),Entire home/apt,4,1,1,85,1,365,3,4.33,4,4.33
23567,2021,100,I Centro Storico,Entire condominium (condo),Entire home/apt,6,1,2,95,1,29,3,5,5,5
23610,2013,91,I Centro Storico,Entire condominium (condo),Entire home/apt,3,1,1,70,1,365,3,4.33,4,4.67
23675,2016,100,VII San Giovanni/Cinecitta,Entire condominium (condo),Entire home/apt,5,1,1,60,1,365,3,5,5,4.33
23689,2018,100,II Parioli/Nomentano,Entire condominium (condo),Entire home/apt,6,1,2,90,1,1125,3,5,5,5
23059,2014,100,XV Cassia/Flaminia,Entire loft,Entire home/apt,2,1,1,100,1,365,3,5,4.67,4.67
23273,2021,90,I Centro Storico,Entire loft,Entire home/apt,2,1,1,71,1,365,3,4.67,4.67,4.67
2678,2011,100,II Parioli/Nomentano,Entire rental unit,Entire home/apt,4,1,1,68,1,6,3,5,5,4
5052,2014,100,X Ostia/Acilia,Entire rental unit,Entire home/apt,4,1,1,59,1,7,3,4.67,4.67,4.67
6993,2015,100,XII Monte Verde,Entire rental unit,Entire home/apt,3,1,1,35,1,365,3,5,5,4.67
10341,2014,97,I Centro Storico,Entire rental unit,Entire home/apt,4,1,2,255,1,1125,3,5,5,5
10875,2017,100,XIV Monte Mario,Entire rental unit,Entire home/apt,4,1,1,85,1,29,3,5,5,5
12678,2015,0,IX Eur,Entire rental unit,Entire home/apt,3,1,1,28,1,1125,3,4.67,5,5
13194,2014,70,XII Monte Verde,Entire rental unit,Entire home/apt,4,1,1,106,1,1125,3,4.67,4.67,4.67
13384,2018,99,I Centro Storico,Entire rental unit,Entire home/apt,2,1,1,99,1,1125,3,4,5,4.67
13397,2018,99,I Centro Storico,Entire rental unit,Entire home/apt,4,1,1,110,1,1125,3,4.33,4.67,5
13512,2016,100,I Centro Storico,Entire rental unit,Entire home/apt,4,1,1,106,1,1125,3,4.33,5,5
14147,2015,80,I Centro Storico,Entire rental unit,Entire home/apt,6,1,2,75,1,31,3,4.67,4.67,5
14220,2012,90,XII Monte Verde,Entire rental unit,Entire home/apt,2,1,1,90,1,1125,3,3.67,3.67,3.33
15072,2019,20,XIII Aurelia,Entire rental unit,Entire home/apt,3,1,2,115,1,10,3,5,5,5
15669,2011,100,XII Monte Verde,Entire rental unit,Entire home/apt,4,1,2,87,1,1125,3,4.33,5,5
16092,2015,74,I Centro Storico,Entire rental unit,Entire home/apt,5,1,2,139,1,500,3,3.67,3.67,4.67
16112,2015,74,I Centro Storico,Entire rental unit,Entire home/apt,5,1,2,129,1,1125,3,4.33,5,5
17198,2019,100,I Centro Storico,Entire rental unit,Entire home/apt,5,1,2,105,1,1125,3,5,5,5
17433,2019,100,I Centro Storico,Entire rental unit,Entire home/apt,4,1,1,75,1,28,3,4.67,5,5
18006,2019,100,XV Cassia/Flaminia,Entire rental unit,Entire home/apt,4,1,1,43,1,20,3,5,5,5
18438,2014,96,I Centro Storico,Entire rental unit,Entire home/apt,6,1,2,78,1,1125,3,5,4.67,5
18711,2016,100,X Ostia/Acilia,Entire rental unit,Entire home/apt,4,1,1,60,1,20,3,5,5,4.67
18760,2019,100,V Prenestino/Centocelle,Entire rental unit,Entire home/apt,3,1,1,148,1,1125,3,4.67,4.67,4.67
18989,2020,100,VII San Giovanni/Cinecitta,Entire rental unit,Entire home/apt,4,1,1,64,1,1125,3,5,4.67,5
19177,2018,100,I Centro Storico,Entire rental unit,Entire home/apt,4,1,1,120,1,1125,3,4.67,5,5
19422,2019,50,VII San Giovanni/Cinecitta,Entire rental unit,Entire home/apt,4,1,1,78,1,1125,3,5,5,5
19436,2015,100,II Parioli/Nomentano,Entire rental unit,Entire home/apt,2,1,1,43,1,29,3,4.33,4.67,5
19681,2015,100,XIII Aurelia,Entire rental unit,Entire home/apt,4,1,1,80,1,28,3,5,5,5
19999,2020,100,I Centro Storico,Entire rental unit,Entire home/apt,5,1,2,122,1,1125,3,5,5,5
20106,2020,100,VII San Giovanni/Cinecitta,Entire rental unit,Entire home/apt,4,1,2,83,1,28,3,5,5,5
